iter	Passed	Remaining
413	3021	4276
414	3028	4269
415	3035	4261
416	3041	4252
417	3049	4245
418	3055	4236
419	3063	4230
420	3069	4221
421	3076	4214
422	3083	4205
423	3090	4198
424	3097	4190
425	3103	4182
426	3110	4174
427	3117	4165
428	3124	4158
429	3130	4149
430	3137	4141
431	3143	4133
432	3150	4125
433	3158	4118
434	3164	4109
435	3171	4102
436	3177	4094
437	3184	4086
438	3191	4078
439	3197	4070
440	3205	4062
441	3211	4054
442	3217	4045
443	3224	4038
444	3231	4029
445	3238	4022
446	3244	4014
447	3251	4006
448	3258	3998
449	3265	3990
450	3271	3982
451	3278	3975
452	3286	3968
453	3292	3959
454	3299	3951
455	3305	3943
456	3311	3934
457	3319	3927
458	3325	3919
459	3332	3912
460	3339	3904
461	3346	3896
462	3352	3888
463	3359	3880
464	3366	3873
465	3372	3864
466	3379	3857
467	3386	3849
468	3392	3841
469	3398	3832
470	3405	3824
471	3413	3818
472	3420	3810
473	3426	3802
474	3433	3794
475	3440	3786
476	3446	3779
477	3452	3770
478	3460	3763
479	3466	3755
480	3473	3748
481	3479	3739
482	3486	3731
483	3493	3723
484	3499	3715
485	3506	3708
486	3513	3700
487	3520	3693
488	3526	3685
489	3532	3677
490	3539	3669
491	3546	3661
492	3552	3653
493	3559	3645
494	3567	3639
495	3573	3631
496	3579	3622
497	3586	3615
498	3593	3608
499	3600	3600
500	3606	3592
501	3613	3584
502	3620	3577
503	3626	3569
504	3634	3562
505	3640	3554
506	3647	3546
507	3654	3539
508	3660	3531
509	3667	3523
510	3673	3515
511	3681	3508
512	3687	3500
513	3694	3492
514	3700	3485
515	3707	3477
516	3715	3470
517	3721	3462
518	3728	3455
519	3734	3447
520	3741	3440
521	3748	3432
522	3754	3423
523	3761	3417
524	3767	3409
525	3774	3401
526	3781	3393
527	3788	3386
528	3794	3378
529	3800	3370
530	3808	3363
531	3815	3356
532	3821	3348
533	3827	3340
534	3834	3333
535	3842	3326
536	3849	3319
537	3857	3312
538	3863	3304
539	3870	3297
540	3877	3290
541	3884	3282
542	3890	3274
543	3897	3267
544	3904	3259
545	3910	3251
546	3919	3245
547	3925	3238
548	3932	3230
549	3938	3222
550	3945	3214
551	3952	3207
552	3958	3199
553	3965	3192
554	3971	3184
555	3978	3177
556	3985	3169
557	3991	3161
558	3999	3155
559	4005	3147
560	4012	3140
561	4021	3134
562	4031	3129
563	4040	3123
564	4047	3116
565	4053	3108
566	4061	3101
567	4067	3093
568	4074	3086
569	4080	3078
570	4087	3070
571	4094	3063
572	4101	3056
573	4108	3049
574	4114	3041
575	4121	3034
576	4128	3026
577	4134	3018
578	4141	3011
579	4147	3003
580	4154	2996
581	4161	2988
582	4167	2981
583	4174	2973
584	4181	2966
585	4188	2959
586	4194	2951
587	4201	2944
588	4208	2936
589	4214	2928
590	4221	2921
591	4227	2913
592	4234	2906
593	4241	2898
594	4248	2891
595	4254	2883
596	4260	2876
597	4267	2868
598	4273	2861
599	4281	2854
600	4288	2847
601	4294	2839
602	4301	2831
603	4308	2824
604	4315	2817
605	4322	2810
606	4329	2802
607	4335	2795
608	4342	2787
609	4348	2779
610	4354	2772
611	4362	2765
612	4368	2758
613	4375	2750
614	4382	2743
615	4389	2736
616	4396	2729
617	4402	2721
618	4410	2714
619	4416	2706
620	4423	2699
621	4429	2691
622	4435	2684
623	4442	2676
624	4448	2669
625	4456	2662
626	4462	2655
627	4469	2647
628	4476	2640
629	4482	2632
630	4490	2625
631	4496	2618
632	4503	2611
633	4510	2603
634	4517	2596
635	4524	2589
636	4530	2581
637	4537	2574
638	4543	2567
639	4551	2560
640	4557	2552
641	4563	2544
642	4570	2537
643	4577	2530
644	4584	2523
645	4590	2515
646	4597	2508
647	4604	2501
648	4610	2493
649	4617	2486
650	4623	2478
651	4630	2471
652	4637	2464
653	4644	2457
654	4651	2449
655	4658	2442
656	4665	2435
657	4671	2428
658	4678	2421
659	4685	2413
660	4692	2406
661	4698	2399
662	4705	2391
663	4712	2384
664	4718	2377
665	4726	2370
666	4732	2362
667	4738	2355
668	4745	2347
669	4752	2340
670	4759	2333
671	4765	2325
672	4772	2319
673	4779	2311
674	4785	2304
675	4792	2296
676	4799	2290
677	4807	2283
678	4813	2275
679	4820	2268
680	4827	2261
681	4833	2253
682	4840	2246
683	4846	2239
684	4854	2232
685	4860	2224
686	4868	2217
687	4875	2210
688	4881	2203
689	4888	2196
690	4894	2188
691	4902	2181
692	4908	2174
693	4915	2167
694	4922	2160
695	4929	2153
696	4935	2145
697	4942	2138
698	4950	2131
699	4956	2124
700	4963	2117
701	4969	2109
702	4976	2102
703	4983	2095
704	4990	2088
705	4997	2081
706	5003	2073
707	5010	2066
708	5017	2059
709	5023	2051
710	5030	2044
711	5036	2037
712	5043	2030
713	5050	2022
714	5057	2015
715	5063	2008
716	5069	2000
717	5076	1993
718	5083	1986
719	5089	1979
720	5095	1971
721	5102	1964
722	5109	1957
723	5115	1950
724	5122	1943
725	5128	1935
726	5135	1928
727	5142	1921
728	5148	1913
729	5155	1906
730	5162	1899
731	5169	1892
732	5175	1885
733	5182	1878
734	5189	1871
735	5195	1863
736	5203	1856
737	5209	1849
738	5216	1842
739	5222	1834
740	5228	1827
741	5235	1820
742	5242	1813
743	5249	1806
744	5255	1799
745	5263	1792
746	5269	1784
747	5276	1777
748	5282	1770
749	5289	1763
750	5296	1756
751	5302	1748
752	5309	1741
753	5315	1734
754	5322	1727
755	5329	1720
756	5335	1712
757	5342	1705
758	5349	1698
759	5355	1691
760	5362	1684
761	5368	1676
762	5375	1669
763	5381	1662
764	5388	1655
765	5395	1648
766	5401	1640
