iter	Passed	Remaining
385	159942	668775
386	160187	667653
387	160430	666530
388	160673	665412
389	160932	664361
390	161178	663265
391	161418	662145
392	161655	661017
393	161891	659894
394	162129	658778
395	162370	657682
396	162608	656575
397	162857	655520
398	163097	654434
399	163341	653367
400	163570	652243
401	163817	651196
402	164063	650145
403	164305	649086
404	164552	648051
405	164791	646987
406	167860	657006
407	170170	663998
408	170409	662888
409	170652	661798
410	170892	660702
411	171133	659611
412	171373	658522
413	171605	657406
414	171847	656333
415	172095	655284
416	172324	654172
417	172525	652953
418	172749	651831
419	172995	650794
420	173238	649746
421	173477	648691
422	173721	647658
423	173961	646610
424	174202	645573
425	174436	644513
426	174677	643485
427	174920	642465
428	175157	641429
429	175397	640406
430	175635	639377
431	175879	638377
432	176116	637353
433	176354	636340
434	176592	635328
435	176882	634506
436	177125	633515
437	177364	632519
438	177607	631539
439	177850	630559
440	178098	629602
441	178342	628638
442	178574	627629
443	178834	626727
444	179073	625749
445	179314	624785
446	179549	623805
447	179805	622897
448	180041	621924
449	180277	620956
450	180517	620001
451	180754	619045
452	181001	618122
453	181245	617193
454	181489	616266
455	181734	615345
456	181997	614490
457	182241	613572
458	182480	612641
459	182722	611722
460	182957	610784
461	183196	609863
462	183434	608939
463	183672	608018
464	183918	607127
465	184152	606201
466	184389	605287
467	184628	604380
468	186600	609137
469	189612	617250
470	189848	616302
471	190083	615354
472	190319	614414
473	190560	613492
474	190796	612557
475	191032	611626
476	191259	610666
477	191493	609734
478	191734	608826
479	191977	607928
480	192218	607025
481	192462	606135
482	192704	605244
483	192943	604343
484	193181	603444
485	193433	602589
486	193675	601707
487	193916	600824
488	194155	599937
489	194395	599055
490	194639	598189
491	194887	597338
492	195121	596447
493	195359	595569
494	195612	594741
495	195853	593877
496	196097	593027
497	196338	592170
498	196579	591313
499	196822	590466
500	197061	589610
501	197346	588894
502	197586	588045
503	197825	587195
504	198056	586326
505	198295	585481
506	198530	584627
507	198759	583758
508	199012	582961
509	199244	582105
510	199484	581276
511	199717	580428
512	199951	579587
513	200191	578764
514	200438	577962
515	200669	577120
516	200900	576278
517	201145	575476
518	201381	574654
519	201641	573903
520	201884	573105
521	202120	572287
522	202353	571464
523	202593	570663
524	202828	569850
525	203100	569144
526	203306	568254
527	203507	567353
528	203728	566512
529	203974	565739
530	204216	564959
531	204452	564165
532	204696	563396
533	206246	566210
534	207222	567442
535	207466	566663
536	207710	565885
537	207949	565097
538	208194	564327
539	208429	563531
540	208671	562756
541	208915	561989
542	209155	561213
543	209397	560445
544	209643	559691
545	209891	558941
546	210126	558159
547	210362	557383
548	210590	556588
549	210829	555824
550	211079	555088
551	211313	554314
552	211556	553566
553	211800	552821
554	212043	552077
555	212284	551328
556	212527	550588
557	212771	549850
558	213013	549110
559	213251	548361
560	213488	547610
561	213724	546861
562	213964	546122
563	214199	545374
564	214436	544630
565	214665	543870
566	214948	543248
567	215189	542521
568	215430	541794
569	215675	541079
570	215916	540358
571	216160	539645
572	216396	538914
573	216635	538191
574	216875	537475
575	217110	536746
576	217351	536034
577	217589	535315
578	217827	534598
579	218064	533881
580	218302	533168
581	218542	532463
582	218785	531765
583	219027	531067
584	219273	530380
585	219515	529683
586	219757	528989
587	219996	528290
588	220234	527589
589	220472	526891
590	220714	526204
591	220949	525501
592	221192	524818
593	221428	524122
594	221668	523435
595	221904	522742
596	222149	522071
597	222389	521386
598	222636	520724
599	224252	523256
600	225019	523797
601	225269	523133
602	225513	522459
603	225758	521785
604	225999	521105
605	226228	520399
606	226484	519757
607	226725	519082
608	226970	518415
609	227209	517738
610	227449	517066
611	227687	516389
612	227925	515714
613	228164	515042
614	228402	514369
615	228643	513705
616	228881	513035
617	229124	512378
618	229367	511722
619	229608	511063
620	229852	510412
621	230089	509747
622	230323	509077
623	230566	508429
624	230827	507821
625	231073	507179
626	231315	506532
627	231550	505871
628	231787	505216
629	232029	504572
630	232288	503966
631	232528	503322
632	232942	503053
633	233184	502414
634	233419	501760
635	233665	501131
636	233896	500471
637	234138	499838
638	234374	499191
639	234614	498554
640	234854	497920
641	235096	497291
642	235339	496664
643	235584	496043
644	235825	495415
645	236060	494775
646	236298	494145
647	236535	493511
648	236771	492879
649	237009	492251
650	237252	491633
651	237492	491011
652	237738	490404
653	237995	489820
654	238237	489205
655	238472	488578
656	238719	487976
657	238955	487353
658	239200	486749
659	239448	486153
660	239694	485554
661	239931	484936
662	240168	484322
663	240408	483714
664	240646	483102
665	242647	486023
666	243151	485937
667	243392	485326
668	243637	484726
669	243898	484155
670	244134	483538
671	244378	482938
672	244616	482327
673	244859	481726
674	245099	481121
675	245334	480507
676	245573	479902
677	245817	479308
678	246054	478701
679	246293	478098
680	246542	477517
681	246774	476904
682	247015	476308
683	247257	475717
684	247499	475127
685	247736	474527
686	247981	473944
687	248218	473347
688	248462	472764
689	248704	472178
690	248946	471593
691	249190	471013
692	249424	470415
693	249669	469839
694	249908	469252
695	250152	468675
696	250388	468086
697	250656	467557
698	250894	466972
699	251136	466395
700	251399	465860
701	251636	465276
702	251874	464696
703	252114	464119
704	252353	463542
705	252599	462979
706	252844	462416
707	253086	461847
708	253319	461262
709	253566	460705
710	253804	460131
711	254042	459560
712	254280	458987
713	254519	458420
714	254763	457861
715	255001	457293
716	255240	456726
717	255480	456164
718	255716	455595
719	255973	455063
720	256211	454500
721	256448	453935
722	256674	453352
723	256897	452764
724	257151	452232
725	257392	451677
726	257629	451116
727	257872	450568
728	258116	450022
729	258372	449496
730	261522	453997
731	263865	457077
732	264100	456500
733	264345	455942
734	264582	455369
735	264816	454793
736	265054	454224
737	265297	453665
738	265533	453096
739	265773	452534
740	266013	451971
741	266256	451415
742	266498	450859
743	266732	450290
744	266974	449735
745	267215	449179
746	267452	448618
747	267687	448054
748	267927	447499
749	268162	446937
750	268401	446382
751	268640	445828
752	268879	445275
753	269121	444727
754	269361	444179
755	269602	443631
756	269842	443083
757	270082	442536
758	270328	441998
759	270572	441460
760	270806	440905
761	271036	440345
762	271321	439875
763	271568	439343
764	271816	438815
765	272056	438273
766	272292	437726
767	272525	437176
768	272767	436640
769	273004	436098
770	273246	435564
771	273488	435031
772	273729	434496
773	273973	433968
774	274217	433440
775	274461	432913
776	274696	432373
777	274937	431842
778	275188	431328
779	275433	430805
780	275671	430273
781	275934	429779
782	276167	429241
783	276406	428712
784	276648	428189
785	276888	427662
786	277138	427152
787	277385	426638
788	277629	426120
789	277882	425618
790	278138	425120
791	278379	424599
792	278626	424088
793	278869	423573
794	279106	423048
795	280588	424408
796	281221	424478
797	281462	423957
798	281705	423439
799	281938	422907
800	282169	422373
801	282402	421843
802	282638	421317
803	282871	420789
804	283110	420269
805	283331	419723
806	283575	419213
807	283819	418704
808	284061	418191
809	284302	417678
810	284536	417157
811	284761	416621
812	285001	416109
813	285242	415599
814	285479	415084
815	285718	414571
816	285953	414055
817	286194	413548
818	286429	413032
819	286667	412520
820	286920	412032
821	287165	411534
822	287397	411016
823	287639	410514
824	287883	410016
825	288128	409519
826	288362	409007
827	288598	408499
828	288873	408047
829	289119	407553
830	289364	407059
831	289601	406555
832	289838	406052
833	290075	405549
834	290314	405049
835	290547	404542
836	290785	404042
837	291020	403539
838	291263	403047
839	291507	402557
840	291745	402059
841	291985	401567
842	292253	401112
843	292492	400617
844	292729	400121
845	292953	399607
846	293196	399120
847	293443	398639
848	293687	398155
849	293923	397661
850	294163	397172
851	294402	396683
852	294636	396188
853	294875	395700
854	295112	395208
855	295348	394718
856	295586	394229
857	295827	393746
858	296072	393269
859	296317	392792
860	296556	392308
861	297795	393145
862	298912	393816
863	299146	393322
864	299388	392838
865	299639	392369
866	299891	391900
867	300127	391410
868	300363	390922
869	300601	390436
870	300845	389959
871	301085	389477
872	301327	388998
873	301565	388515
874	301802	388032
875	302042	387552
876	302280	387070
877	302512	386582
878	302750	386101
879	302985	385617
880	303232	385149
881	303470	384671
