iter	RMSE
0	0.3915340376
1	0.3841018168
2	0.3767650465
3	0.3695359352
4	0.3626944558
5	0.3561685473
6	0.3498592695
7	0.3435953548
8	0.3372473164
9	0.3311788313
10	0.3256013552
11	0.3198777769
12	0.3147637402
13	0.3095362979
14	0.3042718464
15	0.2990258546
16	0.2941300368
17	0.2890578005
18	0.2845545435
19	0.2801992372
20	0.2755962518
21	0.2710049466
22	0.2670891494
23	0.2630788993
24	0.2589312566
25	0.2551286493
26	0.2515078212
27	0.2475416292
28	0.2438287074
29	0.2404198531
30	0.2369837089
31	0.2334173177
32	0.230153551
33	0.2270514029
34	0.2240938461
35	0.2211790124
36	0.2184457554
37	0.2158300969
38	0.2130992564
39	0.2105028504
40	0.2078314325
41	0.2052115909
42	0.2032367247
43	0.200742355
44	0.1984421447
45	0.1963758289
46	0.194234862
47	0.1920957264
48	0.1899337167
49	0.187718537
50	0.185777197
51	0.1838837467
52	0.1820286376
53	0.1802954743
54	0.1785245783
55	0.1768176193
56	0.1750727868
57	0.1735923597
58	0.1720628507
59	0.1704781681
60	0.1690895658
61	0.1677382901
62	0.1665236249
63	0.1651874926
64	0.1638437732
65	0.1625786134
66	0.16114769
67	0.1598959299
68	0.1586785575
69	0.1575614694
70	0.15652397
71	0.1554196651
72	0.1541092798
73	0.1530627388
74	0.1521277121
75	0.1512532932
76	0.1503128966
77	0.1493081658
78	0.1482898836
79	0.1473025797
80	0.1464864051
81	0.1455346381
82	0.1445987447
83	0.1438370015
84	0.1429672271
85	0.1421890685
86	0.1414095113
87	0.1406202076
88	0.1399585103
89	0.1393048022
90	0.1386381117
91	0.1379051015
92	0.1372258098
93	0.136567026
94	0.135837294
95	0.1351426647
96	0.1345955141
97	0.1339758141
98	0.133393726
99	0.1328123202
100	0.1320980914
101	0.1315124521
102	0.1308715259
103	0.1304118235
104	0.1298161455
105	0.1293582201
106	0.1286869517
107	0.128076412
108	0.1277242058
109	0.1270989108
110	0.1267474978
111	0.1261805735
112	0.1256948601
113	0.1251988448
114	0.1247790068
115	0.124332274
116	0.123942017
117	0.1235277227
118	0.1231442533
119	0.1227537182
120	0.1223296741
121	0.12190667
122	0.1215185014
123	0.1211598973
124	0.1207675646
125	0.1204772579
126	0.1201079642
127	0.1198290422
128	0.1194127245
129	0.11909146
130	0.1187467246
131	0.1184050627
132	0.1181463307
133	0.1178320123
134	0.1175793929
135	0.1172880185
136	0.1169107268
137	0.1165809044
138	0.1162973681
139	0.1160036481
140	0.1156642834
141	0.115402982
142	0.1151339577
143	0.1147760856
144	0.1144962682
145	0.1141943834
146	0.1139028083
147	0.1136827682
148	0.1134784785
149	0.1131671178
150	0.1129530571
151	0.112649339
152	0.1124412273
153	0.1122074901
154	0.111973877
155	0.1116702939
156	0.1113784259
157	0.1111440436
158	0.110811234
159	0.1105593334
160	0.1103188099
161	0.110112791
162	0.109829024
163	0.1096030798
164	0.1093900686
165	0.1091805415
166	0.1089784788
167	0.1087581028
168	0.10853593
169	0.1083031538
170	0.1080078773
171	0.1078208292
172	0.1076259113
173	0.1074210644
174	0.1072070891
175	0.1070409241
176	0.1068042716
177	0.106574961
178	0.1063538538
179	0.1061518149
180	0.1059495932
181	0.1057693357
182	0.1055949091
183	0.105382446
184	0.1051448586
185	0.1049856551
186	0.1048297692
187	0.1046175851
188	0.1044720016
189	0.1042914192
190	0.1041544447
191	0.1040016506
192	0.1038267504
193	0.1036658343
194	0.1035188968
195	0.1033505676
196	0.1031395024
197	0.1029625617
198	0.1028260369
199	0.10265615
200	0.1025267354
201	0.1023967785
202	0.1021916992
203	0.1019854795
204	0.1018455527
205	0.1016903613
206	0.1015518496
207	0.1014076138
208	0.1012339822
209	0.1011005212
210	0.1009229437
211	0.1007631431
212	0.1006405964
213	0.1005034496
214	0.1003409975
215	0.1002312223
216	0.1001318537
217	0.09999726976
218	0.09985079475
219	0.09971611283
220	0.09954281187
221	0.09941685554
222	0.09931020532
223	0.09919848147
224	0.09907060734
225	0.09893306999
226	0.09874896064
227	0.09860399095
228	0.09849192078
229	0.0983396289
230	0.09817898707
231	0.09807186778
232	0.09793820902
233	0.09781004893
234	0.09768294408
235	0.09758848427
236	0.09746140298
237	0.09730863282
238	0.09707240646
239	0.09691711845
240	0.09684533445
241	0.09674028351
242	0.09660051042
243	0.09646529364
244	0.09634941503
245	0.09623072936
246	0.09604579436
247	0.09591920635
248	0.09578598691
249	0.09567792592
250	0.09558403028
251	0.09544741443
252	0.09530572519
253	0.09520792328
254	0.09507636626
255	0.09497187656
256	0.09484944841
257	0.09474232334
258	0.09463285599
259	0.09451077968
260	0.094398163
261	0.09427920512
262	0.09416561742
263	0.09406486968
264	0.09393697661
265	0.09384074971
266	0.09372322453
267	0.09359522314
268	0.09345253879
269	0.09334278913
270	0.09322427035
271	0.0931256229
272	0.09303526124
273	0.09294712694
274	0.0928537578
275	0.09274125414
276	0.09264436241
277	0.09247772282
278	0.09239346479
279	0.09231254559
280	0.09219432438
281	0.09203309628
282	0.09193681901
283	0.09180169251
284	0.0916927865
285	0.09155656566
286	0.09145385353
287	0.09133078508
288	0.09120237938
289	0.09108312348
290	0.0909927097
291	0.09088375511
292	0.09076315833
293	0.0906459437
294	0.09057182436
295	0.09045379462
296	0.09036378288
297	0.09023488522
298	0.09011434648
299	0.08999764621
300	0.08988448994
301	0.08978988793
302	0.08967081563
303	0.08954152361
304	0.0894504235
305	0.08937613787
306	0.08925977446
307	0.08914104479
308	0.08900050918
309	0.08893611473
310	0.08885703485
311	0.08871966591
312	0.08858479283
313	0.08847274619
314	0.08833204235
315	0.08819078796
316	0.08811466643
317	0.08802484493
318	0.08789462323
319	0.08779373393
320	0.08769192426
321	0.08762074542
322	0.08746917931
323	0.0873756186
324	0.08725730857
325	0.08715521242
326	0.08703791757
327	0.0869498973
328	0.08677804598
329	0.0866901342
330	0.0866039038
331	0.08651188177
332	0.08643427552
333	0.086368232
334	0.08624622597
335	0.08615063819
336	0.08606975887
337	0.08601417176
338	0.08593093955
339	0.0858297108
340	0.08571282198
341	0.08560020314
342	0.08545456824
343	0.08536969677
344	0.08529260809
345	0.08517171572
346	0.0851220213
347	0.08507237657
348	0.08498698098
349	0.08488851389
350	0.08480552356
351	0.08472949987
352	0.08465620803
353	0.08457895091
354	0.08445438414
355	0.08436291158
356	0.08431433932
357	0.08421087851
358	0.084123413
359	0.08405042661
360	0.08396557387
361	0.0839013585
362	0.08382673984
363	0.08376235821
364	0.0836210199
365	0.08351713869
366	0.08342226425
367	0.08334437278
368	0.0832846531
369	0.08320537411
370	0.08307729063
371	0.08299432962
372	0.08292291223
373	0.08282838405
374	0.0827180666
375	0.08264181731
376	0.08256625166
377	0.08248458089
378	0.08239276667
379	0.08231947535
380	0.08223358485
381	0.08220604866
382	0.08213304584
383	0.0820389574
384	0.08197342057
385	0.08191933444
386	0.08181087314
387	0.08172769592
388	0.08163709295
389	0.08153898476
390	0.08146045197
391	0.08138712173
392	0.08132672105
393	0.08127841533
394	0.08122862005
395	0.0811195788
396	0.08103884848
397	0.08097565296
398	0.08087855289
399	0.08079914013
400	0.08069180153
401	0.08057555068
402	0.08052291102
403	0.08040499419
404	0.08031414347
405	0.08022846449
406	0.08011012559
407	0.07999729587
408	0.07991499767
409	0.07982925989
410	0.07973239045
411	0.07964210517
412	0.07957753951
