iter	RMSE
154	0.1345482983
155	0.1342159099
156	0.1338449559
157	0.1334856411
158	0.1331103932
159	0.1327387783
160	0.1325078194
161	0.1320686718
162	0.1320049662
163	0.1316648826
164	0.1316045822
165	0.1313050406
166	0.1309275834
167	0.1305573109
168	0.1303930297
169	0.1303370279
170	0.13001080581171	0.12966364591172	0.12937453031173	0.12932244381174	0.12897112517175	0.12871737117176	0.1283638821177	0.128055315
178	0.1279022761
179	0.1276380627
180	0.1273588207
181	0.1271968785
182	0.1269022747
183	0.126606728
184	0.1262889148
185	0.1260297447
186	0.1257966701
187	0.1255265746
188	0.12524357871189	0.12498693491190	0.12494072431191	0.12475997681192	0.12456833741193	0.124341219
194	0.12429727391195	0.12398456411196	0.12362581631197	0.12335439811198	0.12307628211199	0.12288595720200	0.12284653920201	0.12269322
202	0.1224388404
203	0.1221908666
204	0.1220015288
205	0.1217500964
206	0.121473589
207	0.1211956375
208	0.1209498391
209	0.1206779594
210	0.1203997714
211	0.1201745917
212	0.1201433967
213	0.1199538825
214	0.1198702526
215	0.1196082459
216	0.1193676508
217	0.1193334961
218	0.1190330084
219	0.1188771378
220	0.118616983
221	0.1183766333
222	0.1181765673
223	0.1181361501
224	0.1178912425
225	0.1177069176
226	0.117487705
227	0.1172536227
228	0.1169610038
